,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.76394,0.7108845736231068,0.76394,0.774171992327664,0.76394,0.7351746331630342,0.76394,0.6705738732243078,0.23606000000000005
0.1,0.7719799999999999,0.7201011135208191,0.7719799999999999,0.788924030002128,0.7719799999999999,0.7453754899846774,0.7719799999999999,0.6831298072153686,0.22801999999999997
0.15,0.76408,0.7150087672712726,0.76408,0.7861961137923791,0.76408,0.7399752324990153,0.76408,0.6737649723664079,0.23592
0.2,0.76712,0.7210881161940028,0.76712,0.7883883236168203,0.76712,0.7438452139487071,0.76712,0.6778362468425725,0.23288
0.25,0.7674000000000001,0.7233225037271805,0.7674000000000001,0.7857929916407238,0.7674000000000001,0.7438042537837007,0.7674000000000001,0.678079591896047,0.23259999999999997
0.3,0.77178,0.7269424042451991,0.77178,0.7879425388074275,0.77178,0.7475012142840468,0.77178,0.6835057316962669,0.22822000000000006
0.35,0.7736200000000001,0.7313824815897497,0.7736200000000001,0.7906984654815483,0.7736200000000001,0.7507755562501006,0.7736200000000001,0.6860880691107704,0.22638000000000003
0.4,0.7915800000000001,0.7513321108265771,0.7915800000000001,0.8041722115782635,0.7915800000000001,0.7695705400293709,0.7915800000000001,0.7087923091178918,0.20842000000000005
0.45,0.82612,0.7943619501300503,0.82612,0.8325022906566782,0.82612,0.8088784285754624,0.82612,0.7530169180167764,0.17388
0.5,0.8218199999999999,0.7910233043509092,0.8218199999999999,0.8290815906615616,0.8218199999999999,0.8050657627431821,0.8218199999999999,0.7472733957090871,0.17818
0.55,0.8314600000000002,0.8003499550748865,0.8314600000000002,0.8376516870367355,0.8314600000000002,0.8143744201570468,0.8314600000000002,0.7605667928013847,0.16853999999999997
0.6,0.8663000000000001,0.8372256953590715,0.8663000000000001,0.8738548712523366,0.8663000000000001,0.852768266945932,0.8663000000000001,0.8085514905144118,0.13369999999999999
0.65,0.8771400000000001,0.8483285295873206,0.8771400000000001,0.8819846440519662,0.8771400000000001,0.8632858216311667,0.8771400000000001,0.8233031420557277,0.12286
0.7,0.8776600000000001,0.8484984484469266,0.8776600000000001,0.8822237996338568,0.8776600000000001,0.8634695803206202,0.8776600000000001,0.8240811981447078,0.12234000000000002
0.75,0.8787200000000002,0.8491018656767421,0.8787200000000002,0.8827085249857562,0.8787200000000002,0.8639545309452583,0.8787200000000002,0.8256238567355393,0.12128
0.8,0.87572,0.8448842775532108,0.87572,0.8797029415178208,0.87572,0.8603892633620397,0.87572,0.8213736920543815,0.12427999999999999
0.85,0.88874,0.8634525707144032,0.88874,0.8915876940285611,0.88874,0.876110972313345,0.88874,0.8395395855256048,0.11126000000000003
0.9,0.9115000000000002,0.8930483984322692,0.9115000000000002,0.9123554760959887,0.9115000000000002,0.9021876090690596,0.9115000000000002,0.8714624347787523,0.0885
0.95,0.9120199999999999,0.8936937759973658,0.9120199999999999,0.9123096930561962,0.9120199999999999,0.9025287781761281,0.9120199999999999,0.872148220338076,0.08798
1.0,0.9114599999999998,0.8939864703653444,0.9114599999999998,0.9118748053630735,0.9114599999999998,0.9024268122588092,0.9114599999999998,0.8713099564835527,0.08854
