,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.90872,0.897273936342189,0.90872,0.9170751443506028,0.90872,0.9066112034945778,0.90872,0.8676459853238231,0.09127999999999999
0.1,0.94054,0.9280187892001771,0.94054,0.9368327962962445,0.94054,0.9321224691925238,0.94054,0.9130866693896215,0.059460000000000006
0.15,0.9442200000000001,0.9324265470591827,0.9442200000000001,0.9400128989442262,0.9442200000000001,0.9358746802465251,0.9442200000000001,0.9183984917895038,0.05578000000000001
0.2,0.94452,0.9342192779861851,0.94452,0.9387784192907472,0.94452,0.9361752741752285,0.94452,0.9187226919313584,0.05548000000000001
0.25,0.9453999999999999,0.9363391588811548,0.9453999999999999,0.9390853049024238,0.9453999999999999,0.9373454698407516,0.9453999999999999,0.919947439568802,0.0546
0.3,0.9463399999999998,0.9374946746813557,0.9463399999999998,0.9394538263234241,0.9463399999999998,0.9381587663035899,0.9463399999999998,0.921304634831611,0.05366000000000001
0.35,0.9460000000000004,0.9376395223586355,0.9460000000000004,0.9389486584358834,0.9460000000000004,0.9380314448947499,0.9460000000000004,0.9208019100985548,0.054000000000000006
0.4,0.94632,0.9382098934432159,0.94632,0.9390895027270689,0.94632,0.9383361896117144,0.94632,0.921247870979078,0.053680000000000005
0.45,0.9458800000000003,0.9369971044362935,0.9458800000000003,0.9376016190295551,0.9458800000000003,0.9370537108115724,0.9458800000000003,0.9205913741704709,0.05412000000000001
0.5,0.9467200000000001,0.9400576785653187,0.9467200000000001,0.9372545865079863,0.9467200000000001,0.9383747347108858,0.9467200000000001,0.9217206189548942,0.053280000000000015
0.55,0.9456400000000003,0.938093569307323,0.9456400000000003,0.9369634032264805,0.9456400000000003,0.937217476111786,0.9456400000000003,0.9201878708987301,0.05435999999999999
0.6,0.94588,0.9388499891451402,0.94588,0.9376268303100833,0.94588,0.9379323742174911,0.94588,0.9205350764361377,0.05412000000000001
0.65,0.9458999999999999,0.9395111866942571,0.9458999999999999,0.9369630678100631,0.9458999999999999,0.9379160431011572,0.9458999999999999,0.9205157944524476,0.05410000000000001
0.7,0.9455400000000002,0.9393223177796136,0.9455400000000002,0.9360046143885224,0.9455400000000002,0.9373957985877891,0.9455400000000002,0.9199766084047952,0.054460000000000015
0.75,0.9470600000000003,0.9411265370837362,0.9470600000000003,0.9374681847809225,0.9470600000000003,0.9389906643621841,0.9470600000000003,0.9221827507399931,0.05294000000000001
0.8,0.9469200000000002,0.9413513560190164,0.9469200000000002,0.9374420458788348,0.9469200000000002,0.9390791911769755,0.9469200000000002,0.9219819607963943,0.05308000000000001
0.85,0.9462200000000002,0.9402821960606329,0.9462200000000002,0.936981857798878,0.9462200000000002,0.9383263193633864,0.9462200000000002,0.9209943994354883,0.05378000000000001
0.9,0.9464999999999999,0.940501114279915,0.9464999999999999,0.9370247746624252,0.9464999999999999,0.9384680364221397,0.9464999999999999,0.9213763701948543,0.05350000000000001
0.95,0.9482199999999998,0.943551892472877,0.9482199999999998,0.9383925847370176,0.9482199999999998,0.9406941762990578,0.9482199999999998,0.9238579289735342,0.05178000000000002
1.0,0.9474400000000002,0.9429173152301148,0.9474400000000002,0.9373013406236802,0.9474400000000002,0.9397918663687223,0.9474400000000002,0.9226991649009563,0.05256000000000002
