,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.8218,0.7707693940227155,0.8218,0.8046789718272271,0.8218,0.7855694596303155,0.8218,0.7436021838566051,0.17820000000000003
0.1,0.84348,0.7986913159464415,0.84348,0.8220756218356458,0.84348,0.8089278420940365,0.84348,0.773122526234724,0.15651999999999996
0.15,0.8528999999999999,0.8130608928251328,0.8528999999999999,0.8261305667308406,0.8528999999999999,0.8184959297732399,0.8528999999999999,0.7855722901545306,0.14709999999999998
0.2,0.8614000000000002,0.8262334869134744,0.8614000000000002,0.8328330281890137,0.8614000000000002,0.8287555120148866,0.8614000000000002,0.797061863604202,0.13860000000000006
0.25,0.8637799999999999,0.8313870173149482,0.8637799999999999,0.835042963759441,0.8637799999999999,0.8324431033167418,0.8637799999999999,0.8003262562956536,0.13622
0.3,0.87068,0.8405913069590227,0.87068,0.8405801521186055,0.87068,0.8397023917468026,0.87068,0.8099979121686586,0.12932000000000002
0.35,0.87512,0.8483559677615203,0.87512,0.8459680637886894,0.87512,0.846209867719229,0.87512,0.8163186257806078,0.12488000000000002
0.4,0.88536,0.8632064001556103,0.88536,0.8576345023062792,0.88536,0.8594809401071696,0.88536,0.8311554276406838,0.11464000000000002
0.45,0.9024999999999999,0.8889763149921397,0.9024999999999999,0.8824643732854979,0.9024999999999999,0.8849115025673622,0.9024999999999999,0.8563649154388177,0.09750000000000002
0.5,0.9039400000000001,0.8913822221607103,0.9039400000000001,0.8827483984151412,0.9039400000000001,0.8862994015756539,0.9039400000000001,0.8582985545038043,0.09606000000000002
0.55,0.9069999999999999,0.8949608524027929,0.9069999999999999,0.8864449228279306,0.9069999999999999,0.8898997784304208,0.9069999999999999,0.8628386546548326,0.09299999999999999
0.6,0.9222999999999999,0.9098733875442265,0.9222999999999999,0.9101012914822969,0.9222999999999999,0.9092090547219129,0.9222999999999999,0.8859352854205358,0.07769999999999999
0.65,0.9284199999999998,0.9161048200697043,0.9284199999999998,0.9170407686477171,0.9284199999999998,0.9158606441724005,0.9284199999999998,0.8949833626804636,0.07157999999999998
0.7,0.9279000000000001,0.9161978164074891,0.9279000000000001,0.9161760615328953,0.9279000000000001,0.9155164623658573,0.9279000000000001,0.8942047647712635,0.0721
0.75,0.9275599999999998,0.9148651799023313,0.9275599999999998,0.9164163126441416,0.9275599999999998,0.9149323498249627,0.9275599999999998,0.893765375287402,0.07243999999999999
0.8,0.9266800000000001,0.9140410554788839,0.9266800000000001,0.9155690696007106,0.9266800000000001,0.9140629809861225,0.9266800000000001,0.8924706597306883,0.07332
0.85,0.9329199999999999,0.9228543537053266,0.9329199999999999,0.9218865664100416,0.9329199999999999,0.9217397218720224,0.9329199999999999,0.901493684415407,0.06708
0.9,0.9482599999999999,0.9434602087351067,0.9482599999999999,0.9383408443313069,0.9482599999999999,0.9406107879850412,0.9482599999999999,0.9239229316937545,0.05174000000000002
0.95,0.9480000000000003,0.9428435410213905,0.9480000000000003,0.9381784950012485,0.9480000000000003,0.9402625026753852,0.9480000000000001,0.9235454933486477,0.052000000000000005
1.0,0.9474400000000002,0.9429173152301148,0.9474400000000002,0.9373013406236802,0.9474400000000002,0.9397918663687223,0.9474400000000002,0.9226991649009563,0.05256000000000002
