,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.8614399999999999,0.8359898627833009,0.8614399999999999,0.863492097462966,0.8614399999999999,0.8483602117632119,0.8614399999999999,0.7999406578642375,0.13856000000000002
0.1,0.9168400000000001,0.8981519391691727,0.9168400000000001,0.9138960449797221,0.9168400000000001,0.905278425962263,0.9168400000000001,0.8789106521111485,0.08316000000000001
0.15,0.9291600000000001,0.9128134962338984,0.9291600000000001,0.9236325725538757,0.9291600000000001,0.9176605572654353,0.9291600000000001,0.8965881979114352,0.07084
0.2,0.9447800000000001,0.93512837582356,0.9447800000000001,0.9400991142621794,0.9447800000000001,0.9373326836260163,0.9447800000000001,0.9191138780899797,0.05521999999999999
0.25,0.9496600000000001,0.9402607909068058,0.9496600000000001,0.9436380656750109,0.9496600000000001,0.9417074761890492,0.9496600000000001,0.9262158114118744,0.05034000000000001
0.3,0.9492400000000001,0.9400837062486633,0.9492400000000001,0.9427516681742643,0.9492400000000001,0.9411609042352178,0.9492400000000001,0.9255827012365113,0.05076
0.35,0.9487400000000001,0.9400578118530913,0.9487400000000001,0.9418770293434586,0.9487400000000001,0.9407091218810462,0.9487400000000001,0.9248314043083071,0.05126
0.4,0.94714,0.9388891612696262,0.94714,0.9397506948279951,0.94714,0.9390775197500092,0.94714,0.9224610175343996,0.05286000000000001
0.45,0.9492,0.9413340697517053,0.9492,0.9418180436385577,0.9492,0.9413590664968174,0.9492,0.9254740734060464,0.050800000000000026
0.5,0.9485000000000001,0.9409551690345549,0.9485000000000001,0.9407672305492849,0.9485000000000001,0.9406247427390632,0.9485000000000001,0.9244164250778834,0.051500000000000004
0.55,0.9480200000000001,0.9410493385152516,0.9480200000000001,0.9395492976778338,0.9480200000000001,0.9400659957810552,0.9480200000000001,0.923691834736126,0.051980000000000005
0.6,0.94734,0.9404441647438289,0.94734,0.9389006653617668,0.94734,0.9394181596184759,0.94734,0.9226844313850809,0.05266000000000002
0.65,0.9476,0.9411570029933509,0.9476,0.9387693931664104,0.9476,0.9397141554543623,0.9476,0.9230203921362388,0.05240000000000001
0.7,0.9480399999999999,0.9414726998881059,0.9480399999999999,0.9391142335442525,0.9480399999999999,0.9400353805666306,0.9480399999999999,0.923671428542978,0.051960000000000006
0.75,0.9461999999999999,0.9401041558914294,0.9461999999999999,0.9374901615270328,0.9461999999999999,0.938510821662824,0.9461999999999999,0.9209683808605625,0.05380000000000003
0.8,0.9468,0.9408230643210936,0.9468,0.9379738081252832,0.9468,0.939104863030316,0.9467999999999998,0.9218448048658265,0.05320000000000001
0.85,0.9475800000000001,0.9414381040437161,0.9475800000000001,0.938498712821322,0.9475800000000001,0.9396491865392477,0.9475800000000001,0.9229732299453509,0.05242000000000001
0.9,0.9477199999999999,0.9426341081445833,0.9477199999999999,0.9376942174158626,0.9477199999999999,0.939885829718094,0.9477199999999999,0.9231210257017269,0.052279999999999986
0.95,0.9473600000000001,0.9422729045735919,0.9473600000000001,0.9368326022598911,0.9473600000000001,0.9392655683245127,0.9473600000000001,0.9225792741214023,0.05264000000000001
1.0,0.9474400000000002,0.9429173152301148,0.9474400000000002,0.9373013406236802,0.9474400000000002,0.9397918663687223,0.9474400000000002,0.9226991649009563,0.05256000000000002
