,accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.05,0.9112000000000003,0.8956952490095921,0.9112000000000003,0.914108524081191,0.9112000000000003,0.9043104082878968,0.9112000000000003,0.8709060108500881,0.0888
0.1,0.9411999999999998,0.9286303595858518,0.9411999999999998,0.9380587866357605,0.9411999999999998,0.9330287016902029,0.9411999999999998,0.9140715600474161,0.058800000000000005
0.15,0.9452000000000002,0.9333180504270108,0.9452000000000002,0.9414527138412937,0.9452000000000002,0.937080582144903,0.9452000000000002,0.9198470908063606,0.0548
0.2,0.9458800000000003,0.9358919164474249,0.9458800000000003,0.940194090840526,0.9458800000000003,0.9377594816967083,0.9458800000000003,0.9207225369044658,0.054120000000000015
0.25,0.9461800000000002,0.9361238166540616,0.9461800000000002,0.9398765580176426,0.9461800000000002,0.9377048912315336,0.9461800000000002,0.9211402764170858,0.05382
0.3,0.94636,0.937211965973261,0.94636,0.939778663926644,0.94636,0.9382407712153373,0.94636,0.9213745324204584,0.053640000000000014
0.35,0.9459600000000001,0.9379822221320739,0.9459600000000001,0.9386125429292578,0.9459600000000001,0.9380003355672809,0.9459600000000001,0.9207084620430546,0.054040000000000005
0.4,0.9461800000000001,0.9380666899866597,0.9461800000000001,0.9384589889238124,0.9461800000000001,0.9380275457734395,0.9461800000000001,0.9210383975077968,0.053820000000000014
0.45,0.9452200000000002,0.938064850687369,0.9452200000000002,0.9372256129094982,0.9452200000000002,0.9373731975595254,0.9452200000000002,0.9195820680636424,0.054779999999999995
0.5,0.9458600000000001,0.9389486281933519,0.9458600000000001,0.9372600115516425,0.9458600000000001,0.9378575371891151,0.9458600000000001,0.9205023597749215,0.05414000000000001
0.55,0.9456800000000001,0.9389742751662178,0.9456800000000001,0.9368017996509523,0.9456800000000001,0.9375957788577359,0.9456800000000001,0.9202188334923995,0.05432000000000001
0.6,0.9470000000000001,0.9409575193801502,0.9470000000000001,0.9374358874600758,0.9470000000000001,0.9389289717849947,0.9470000000000001,0.9221036530078212,0.053000000000000005
0.65,0.94554,0.9387004073135103,0.94554,0.9364989284890504,0.94554,0.9373046672465286,0.94554,0.9200247042090527,0.05446000000000001
0.7,0.9463000000000001,0.9399511924722845,0.9463000000000001,0.937015363713941,0.9463000000000001,0.9381863283262024,0.9463000000000001,0.9210978105412628,0.05370000000000001
0.75,0.9474600000000001,0.9417200839174843,0.9474600000000001,0.9384703444596291,0.9474600000000001,0.9398159212190097,0.9474600000000001,0.9227860441778087,0.05254000000000001
0.8,0.9473400000000001,0.9414030544339781,0.9473400000000001,0.9379134020340305,0.9473400000000001,0.9393218599014719,0.9473400000000001,0.9226195846509607,0.05266000000000001
0.85,0.9465800000000002,0.9403601566830854,0.9465800000000002,0.937682091931513,0.9465800000000002,0.9387282944678431,0.94658,0.9215316319287439,0.05342
0.9,0.9472599999999999,0.9415871720633749,0.9472599999999999,0.937659609090623,0.9472599999999999,0.9393195594993615,0.9472599999999999,0.9224813905472916,0.05274
0.95,0.9477000000000001,0.9424262909099127,0.9477000000000001,0.9375737244023915,0.9477000000000001,0.939760348755152,0.9477000000000001,0.9230899326743554,0.05230000000000001
1.0,0.9474400000000002,0.9429173152301148,0.9474400000000002,0.9373013406236802,0.9474400000000002,0.9397918663687223,0.9474400000000002,0.9226991649009563,0.05256000000000002
