accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.947,0.940367878593709,0.947,0.942215371031314,0.947,0.9412213855532775,0.9469999999999998,0.9222475162299141,0.053
0.947,0.9451448623108477,0.947,0.9365493625150271,0.947,0.9405867938228253,0.9469999999999998,0.921884326900827,0.053
0.939,0.9408661442302723,0.939,0.927281476931945,0.939,0.932832032155654,0.939,0.9099509047904273,0.061
0.9415,0.9405530592312895,0.9415,0.9284614329441906,0.9415,0.9329771751894173,0.9415,0.9136279898464904,0.0585
0.948,0.9469639861092757,0.948,0.9331583205223096,0.948,0.9397841149987993,0.948,0.9232777232074191,0.052
0.9405,0.940922623990636,0.9405,0.9235303406162437,0.9405,0.9316560473206978,0.9405,0.9120464897125805,0.0595
0.942,0.9403116529023596,0.942,0.926439566324358,0.942,0.9330707631521614,0.942,0.9144626670097992,0.058
0.942,0.9438294608494006,0.942,0.9292039259825366,0.942,0.9358020678135562,0.942,0.9141864897724721,0.058
0.9385,0.9405955396869351,0.9385,0.9244608949754962,0.9385,0.931933118600676,0.9385,0.9090105451599898,0.0615
0.946,0.9455457750866262,0.946,0.9333309721822266,0.946,0.939052438429132,0.946,0.920385364323576,0.054
0.949,0.9469630513654034,0.949,0.9372113075599314,0.949,0.9417286803530365,0.949,0.9248264375101337,0.051
0.9475,0.9457828789117082,0.9475,0.9310240726608221,0.9475,0.9379334693422843,0.9475,0.9223491669544678,0.0525
0.936,0.9341829368684816,0.936,0.9189507891046911,0.936,0.9248178957283423,0.936,0.9054729674841778,0.064
0.9425,0.9432156171313113,0.9425,0.9328548178251178,0.9425,0.936826187802184,0.9425,0.9152586710643732,0.0575
0.9445,0.940790464808305,0.9445,0.9325277364098371,0.9445,0.9360300640267835,0.9445,0.9181664869646955,0.0555
0.9335,0.9372475923830491,0.9335,0.9189217948676464,0.9335,0.9264459786374607,0.9335,0.901461919847792,0.0665
0.9465,0.943680960239503,0.9465,0.936609175223419,0.9465,0.9394683922972161,0.9465,0.9209926279476395,0.0535
0.9565,0.9515292490727091,0.9565,0.9457554064057674,0.9565,0.9484129138161176,0.9565,0.9359744486535316,0.0435
0.933,0.9220740326348752,0.933,0.924812022695929,0.933,0.9231554186907363,0.933,0.9018198496817937,0.067
0.9445,0.9377082567434248,0.9445,0.9292565903107048,0.9445,0.9331320219640994,0.9445,0.9181052657207456,0.0555
0.9555,0.9565272223040483,0.9555,0.9472468061939393,0.9555,0.9516852630784434,0.9555,0.9343650556606452,0.0445
0.9415,0.9374920086336541,0.9415,0.9233665846347949,0.9415,0.929444620540112,0.9415,0.9134228605086888,0.0585
0.945,0.9425411994996923,0.945,0.9341937565986412,0.945,0.9368512219292625,0.945,0.9188908695083128,0.055
0.957,0.9522166217130185,0.957,0.9490867690317105,0.957,0.9504540811608804,0.957,0.9368509785895446,0.043
0.9455,0.9390916364936107,0.9455,0.9368667616869505,0.9455,0.9375327107500894,0.9455,0.9199822345878627,0.0545
