accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9495,0.9435292347378318,0.9495,0.9473261841379114,0.9495,0.9452908409160784,0.9495,0.9259743805393243,0.0505
0.9465,0.9456656028631767,0.9465,0.9336480973968424,0.9465,0.9394021153994109,0.9465,0.9210496413292584,0.0535
0.952,0.9526160356220079,0.952,0.9387740913183484,0.952,0.945128193167009,0.952,0.9290907439045738,0.048
0.945,0.943337375202689,0.945,0.9277084027892154,0.945,0.9348726333750635,0.945,0.9187165490889233,0.055
0.951,0.9500530381723324,0.951,0.9352835943672423,0.951,0.9423084750118184,0.951,0.9275566407275088,0.049
0.939,0.937580032641788,0.939,0.9226842502573901,0.939,0.9296896340412877,0.939,0.9098839238460064,0.061
0.9435,0.9440505216249667,0.9435,0.9278442796231663,0.9435,0.9356604756244353,0.9435,0.9164903171261731,0.0565
0.9495,0.9521582581791735,0.9495,0.9376705083406419,0.9495,0.9443468501080599,0.9495,0.9252767626638316,0.0505
0.9415,0.9424838415064692,0.9415,0.9293617438076809,0.9415,0.935206832660113,0.9415,0.9134004640106762,0.0585
0.9465,0.9428655889607079,0.9465,0.9394237611048046,0.9465,0.9405884859833065,0.9465,0.9214224735397524,0.0535
0.9425,0.9421322947744301,0.9425,0.9278729788418071,0.9425,0.9347388334324306,0.9425,0.9150356277777347,0.0575
0.954,0.9523994171064051,0.954,0.9414191121299605,0.954,0.9464685210913806,0.954,0.9321057511963594,0.046
0.936,0.9338128749886466,0.936,0.9162491126048956,0.936,0.9240421928837655,0.936,0.9053367165596404,0.064
0.935,0.9331694429978192,0.935,0.923702139743101,0.935,0.9278817361738992,0.935,0.9043183343735648,0.065
0.9455,0.9442243222951823,0.9455,0.9343485562999251,0.9455,0.9387076237243406,0.9455,0.9196470663254492,0.0545
0.9375,0.9418702591955174,0.9375,0.9215642996618176,0.9375,0.9308328877842401,0.9375,0.9073501704015666,0.0625
0.949,0.9467523225733188,0.949,0.9426550944296538,0.949,0.9438227235522545,0.949,0.924865254673639,0.051
0.952,0.946598709974794,0.952,0.9418503491160628,0.952,0.9436710462524399,0.952,0.9293607070404565,0.048
0.9365,0.9306921195186938,0.9365,0.9269410644659241,0.9365,0.9285171802810045,0.9365,0.9066620855144334,0.0635
0.945,0.9376758394251447,0.945,0.9354234591807163,0.945,0.9357387577071704,0.945,0.9189952166675442,0.055
0.9525,0.95380146669942,0.9525,0.9454840420234638,0.9525,0.94885674011259,0.9525,0.9299244142603079,0.0475
0.9405,0.9370085952772915,0.9405,0.9264102154676611,0.9405,0.9306304363949844,0.9405,0.9120619586314328,0.0595
0.944,0.9414750688503494,0.944,0.9322787095304287,0.944,0.9349444158603611,0.944,0.917366530346035,0.056
0.952,0.9520353954909537,0.952,0.9380211061421072,0.952,0.9447870116555417,0.952,0.9291333787322625,0.048
0.941,0.9336708709683773,0.941,0.9326120534962925,0.941,0.932541217937935,0.941,0.9132901253619036,0.059
