accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.919,0.8919167305108241,0.919,0.9334425083397879,0.919,0.9113774153070091,0.919,0.8830082479185217,0.081
0.913,0.888477828555773,0.913,0.9129433016628127,0.913,0.9002716218852128,0.9130000000000001,0.8740372263431595,0.087
0.918,0.9018684591530269,0.918,0.9178722879577004,0.918,0.9093935546698076,0.918,0.880519898718758,0.082
0.911,0.8993337336190597,0.911,0.9029348080275149,0.911,0.9006257669123988,0.911,0.8698529301552589,0.089
0.9,0.8752499231405587,0.9,0.9093031845744045,0.9,0.891183395574783,0.9,0.856256059705483,0.1
0.9215,0.9118327917562645,0.9215,0.9202561180875329,0.9215,0.9159116451369158,0.9215,0.8855126462949668,0.0785
0.9155,0.8998149580184748,0.9155,0.9165809124387826,0.9155,0.9078517381875564,0.9155,0.8771864357141845,0.0845
0.9225,0.9059803478167594,0.9225,0.9241499812948706,0.9225,0.9147335097549254,0.9225,0.8872662912028069,0.0775
0.9095,0.8931780872748485,0.9095,0.9110857729721298,0.9095,0.9014255930340287,0.9095,0.8683096672709143,0.0905
0.9115,0.8862105078395696,0.9115,0.9164331105117068,0.9115,0.900730719731745,0.9115,0.8719308629255043,0.0885
0.9175,0.9047233100076704,0.9175,0.9147742134634216,0.9175,0.9093668884038175,0.9175,0.8797019670915618,0.0825
0.913,0.8994548718106253,0.913,0.9119372643373825,0.913,0.9054060922817383,0.9130000000000001,0.8735256010713981,0.087
0.901,0.8880042814183322,0.901,0.890194422531081,0.901,0.8888276721535848,0.901,0.855544782211872,0.099
0.898,0.8805576876882744,0.898,0.9013489622114963,0.898,0.890174523552477,0.898,0.8522774258906983,0.102
0.904,0.8853173914522229,0.904,0.9087618265122307,0.904,0.896035609433928,0.904,0.8607613020848819,0.096
0.8995,0.8887289319013031,0.8995,0.8839875535264956,0.8995,0.8861270561181822,0.8995,0.8524500991373836,0.1005
0.9215,0.9084909959516417,0.9215,0.9267237826895336,0.9215,0.9173580747945289,0.9215,0.885673173829206,0.0785
0.917,0.8972741075428646,0.917,0.9208732206844324,0.917,0.9084685784236758,0.917,0.8797265300089553,0.083
0.9035,0.8871306044386705,0.9035,0.9016077873164718,0.9035,0.8939273379967511,0.9035,0.859873762959408,0.0965
0.901,0.8814428971546157,0.901,0.8996173040375485,0.901,0.8900441543667327,0.901,0.8564407009464038,0.099
0.909,0.8894313084734761,0.909,0.9162723021426197,0.909,0.9019120443289891,0.909,0.8683576678765224,0.091
0.919,0.909219184041211,0.919,0.9198302935234461,0.919,0.9142201784025653,0.919,0.8818955329536979,0.081
0.9005,0.8834403005893651,0.9005,0.9028137197303069,0.9005,0.8928043291160374,0.9005,0.8555884896043668,0.0995
0.922,0.9080183909206495,0.922,0.9168518634056926,0.922,0.9122681911448653,0.922,0.8862258111333878,0.078
0.9045,0.8840909322617474,0.9045,0.9091730537279022,0.9045,0.8954630468958333,0.9045,0.8618652672870917,0.0955
