accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.931,0.9138758073068635,0.931,0.9306857816757498,0.931,0.9212706520695048,0.931,0.8995465399788393,0.069
0.92,0.9045762100285865,0.92,0.9114973030274021,0.92,0.9073650216496577,0.92,0.8830017224340175,0.08
0.929,0.9193878326086627,0.929,0.913792160394565,0.929,0.9156735195416762,0.929,0.8955881585207048,0.071
0.9345,0.9256162666479244,0.9345,0.9215289243718582,0.9345,0.9227785392655337,0.9345,0.9036530214338931,0.0655
0.9295,0.9179717775817585,0.9295,0.9178121967381404,0.9295,0.9176383418570725,0.9295,0.8965702777454815,0.0705
0.9245,0.9121233424788509,0.9245,0.9080905738337196,0.9245,0.9094911958958791,0.9245,0.8889868320738362,0.0755
0.928,0.916698742191369,0.928,0.915360386908584,0.928,0.9157656107135389,0.928,0.8943282136331281,0.072
0.9255,0.9140809169477234,0.9255,0.9135632848752554,0.9255,0.9133396740784194,0.9255,0.8903320730108704,0.0745
0.9205,0.9131904032958745,0.9205,0.9106931221713647,0.9205,0.9111603049867393,0.9205,0.8830384836491111,0.0795
0.9325,0.9156610695931388,0.9325,0.924478408791407,0.9325,0.9195032072426029,0.9325,0.9011955340381386,0.0675
0.9275,0.9131411173083359,0.9275,0.9145548905183981,0.9275,0.9131793120963129,0.9275,0.8937109502277701,0.0725
0.936,0.9279541943038261,0.936,0.916903536255758,0.936,0.9220672943736788,0.936,0.9055807319779988,0.064
0.924,0.9115892938774731,0.924,0.9056943083613099,0.924,0.9076964602273687,0.924,0.8883325515387517,0.076
0.9215,0.905901327904532,0.9215,0.9190220059238703,0.9215,0.9107377653416461,0.9215,0.8856955643326477,0.0785
0.924,0.912430910533744,0.924,0.9118298712773605,0.924,0.9111033693299403,0.924,0.8885619469107648,0.076
0.9245,0.9141548435656444,0.9245,0.9116024928797398,0.9245,0.9117865000500887,0.9245,0.8891400572213506,0.0755
0.9295,0.9113210009037962,0.9295,0.9251498768734095,0.9295,0.9171203736119037,0.9295,0.8970455730326578,0.0705
0.931,0.9215322745967295,0.931,0.9188279124269444,0.931,0.9198338731114517,0.931,0.8986467505083269,0.069
0.913,0.8997654632232979,0.913,0.8962943518512212,0.913,0.897896978028205,0.9130000000000001,0.8722504947540106,0.087
0.929,0.9109051724431799,0.929,0.9200395396470921,0.929,0.9141592998690508,0.929,0.8960560974993805,0.071
0.9395,0.9308860375176241,0.9395,0.933670055992125,0.9395,0.9314974024249804,0.9395,0.9112469871652874,0.0605
0.9215,0.9126821528986763,0.9215,0.904966174833453,0.9215,0.9083962736616148,0.9215,0.8841511804957813,0.0785
0.9215,0.9129217520778824,0.9215,0.9074155049789897,0.9215,0.9092444149114889,0.9215,0.8846874478981901,0.0785
0.93,0.9123186009775566,0.93,0.9228165019413411,0.93,0.9170558215822878,0.93,0.8977877994406802,0.07
0.9195,0.9003398761590539,0.9195,0.9129375734687053,0.9195,0.9058133187324224,0.9195,0.882631503745586,0.0805
