accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.937,0.9107792199666133,0.937,0.9396704435343204,0.937,0.9241450123795131,0.937,0.9086393793278469,0.063
0.905,0.8947956262734108,0.905,0.8863323228667691,0.905,0.8901956519712987,0.905,0.860056058596738,0.095
0.9285,0.916822257603664,0.9285,0.9219823759749269,0.9285,0.9183325851233523,0.9285,0.8954410850729353,0.0715
0.91,0.9038117785928752,0.91,0.8928253064347976,0.91,0.8976529092508804,0.91,0.8673226822931064,0.09
0.947,0.9425149142774004,0.947,0.9349521711754426,0.947,0.9384335085441133,0.9469999999999998,0.9218959248461958,0.053
0.9435,0.9420206742442767,0.9435,0.9372829351609218,0.9435,0.9388913901938342,0.9435,0.9169799815225357,0.0565
0.919,0.9007593820027812,0.919,0.9012770293924236,0.919,0.9000681278405417,0.919,0.8811326735462967,0.081
0.9075,0.8939526573617812,0.9075,0.8860850776827004,0.9075,0.8895288982805586,0.9075,0.8640067364446877,0.0925
0.9395,0.9376767743245398,0.9395,0.9268372121372389,0.9395,0.9319716276562516,0.9395,0.9106189820166869,0.0605
0.9055,0.8744237663861517,0.9055,0.8661645331864506,0.9055,0.8701060345808075,0.9055,0.8606896378888804,0.0945
0.943,0.9389389048325457,0.943,0.9351313397652722,0.943,0.936687979620647,0.943,0.9163099439203212,0.057
0.9165,0.9002006780379892,0.9165,0.8933940727549663,0.9165,0.8966204887574521,0.9165,0.8771763956567514,0.0835
0.8995,0.8637665471401674,0.8995,0.8761670197341727,0.8995,0.8697178277994464,0.8995,0.8534665548346742,0.1005
0.881,0.862930238438591,0.881,0.839908459978196,0.881,0.848697492069607,0.881,0.8235575178397806,0.119
0.8795,0.8677157035652415,0.8795,0.8604425467121891,0.8795,0.863155341391251,0.8795,0.8232644810374155,0.1205
0.9075,0.900071792311453,0.9075,0.8764130863452363,0.9075,0.887800243957869,0.9075,0.8629009129317047,0.0925
0.9095,0.8907537558244149,0.9095,0.8897751656901738,0.9095,0.8897458978597794,0.9095,0.866719144469452,0.0905
0.9355,0.9240296604358956,0.9355,0.9283391726581859,0.9355,0.9258951475378089,0.9355,0.9055778252816471,0.0645
0.8935,0.8631198991284995,0.8935,0.868333085148253,0.8935,0.8653852856108203,0.8935,0.8444938219147629,0.1065
0.9375,0.9329994185166726,0.9375,0.9219343477959424,0.9375,0.9269473448809813,0.9375,0.9078218676027049,0.0625
0.943,0.9373033619723156,0.943,0.9363748914464072,0.943,0.9367073908929121,0.943,0.9162309204899168,0.057
0.9245,0.9110324607304544,0.9245,0.9147190546928544,0.9245,0.9123612579734811,0.9245,0.8892495003392192,0.0755
0.93,0.9276819527190403,0.93,0.9132389903755406,0.93,0.9196375814626218,0.93,0.8966413228729431,0.07
0.8835,0.8698148488967402,0.8835,0.850881801656998,0.8835,0.8598164612363349,0.8835000000000001,0.8282990441120389,0.1165
0.925,0.9058109112434009,0.925,0.9224134939461001,0.925,0.9127914296433707,0.925,0.8908394266158949,0.075
