accuracy,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,kappa,hamming_loss
0.9245,0.9009513697348419,0.9245,0.9338344684564134,0.9245,0.9165585163403297,0.9245,0.8907180547524257,0.0755
0.8995,0.8775215585396429,0.8995,0.90724392295887,0.8995,0.891655942624022,0.8995,0.8549174852219744,0.1005
0.9055,0.8959727819038034,0.9055,0.8980844333995784,0.9055,0.8966586767495786,0.9055,0.8618495783122843,0.0945
0.921,0.9045777736833415,0.921,0.9213160599890675,0.921,0.9126210961281483,0.9209999999999999,0.8849372689642315,0.079
0.907,0.8922893731911957,0.907,0.9021216916275412,0.907,0.8969698890722996,0.907,0.8646312347414474,0.093
0.915,0.9041251685620342,0.915,0.9140941240524786,0.915,0.9087719222824147,0.915,0.8762320372643494,0.085
0.9145,0.90044309166404,0.9145,0.9190521055438103,0.9145,0.9092236226132387,0.9145,0.8759671929598688,0.0855
0.9195,0.9018910849259926,0.9195,0.9152844847088546,0.9195,0.9083619159749975,0.9195,0.8825303688181606,0.0805
0.8995,0.8799922101216276,0.8995,0.9020750094169601,0.8995,0.8904339117504233,0.8995,0.8541546338192911,0.1005
0.9035,0.882191968836282,0.9035,0.9089884525528027,0.9035,0.8949113855690752,0.9035,0.8601031612336436,0.0965
0.9095,0.9011264043505371,0.9095,0.8968285421855368,0.9095,0.8987992651245573,0.9095,0.8672068389211619,0.0905
0.9285,0.9103794630905168,0.9285,0.9322141184093388,0.9285,0.9205222599363075,0.9285,0.8960537496610843,0.0715
0.917,0.9020032446461307,0.917,0.9101037263570797,0.917,0.9057053447581384,0.917,0.8790459053577928,0.083
0.91,0.8941595015632501,0.91,0.920011057040762,0.91,0.9062923780856185,0.91,0.8699265952419148,0.09
0.9095,0.8947042525631295,0.9095,0.9167074404532984,0.9095,0.9052158200856285,0.9095,0.8690082586312521,0.0905
0.9145,0.9002232057269439,0.9145,0.9098997751491393,0.9145,0.9049689812658342,0.9145,0.8752020212893675,0.0855
0.919,0.9085238343014104,0.919,0.9190233390126048,0.919,0.913626719664055,0.919,0.8817928521888936,0.081
0.918,0.9000770530185941,0.918,0.9237204971831443,0.918,0.9111598728838963,0.918,0.8814201241618066,0.082
0.9105,0.8951894195951224,0.9105,0.9071690908377187,0.9105,0.9010528387408021,0.9105,0.8696518575884646,0.0895
0.8935,0.877784769358846,0.8935,0.9003364598931011,0.8935,0.8884724176732098,0.8935,0.8457825323739028,0.1065
0.923,0.9133306323592701,0.923,0.924220050061393,0.923,0.9184939023065937,0.923,0.8877251102426413,0.077
0.9155,0.9000605882333579,0.9155,0.9128740561048093,0.9155,0.906248504477586,0.9155,0.8769829224635735,0.0845
0.9055,0.8829237310953371,0.9055,0.9140591467981524,0.9055,0.8974846719799724,0.9055,0.8634939975277246,0.0945
0.93,0.9094811512295,0.93,0.9232778323522431,0.93,0.9162284388398376,0.93,0.8979014741933213,0.07
0.9115,0.886708061535853,0.9115,0.9146894077468836,0.9115,0.900014237982051,0.9115,0.871866103697966,0.0885
