Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.7622926151297906,0.8421984966330299,0.903492303008958,0.9051973654118264,0.9205813831558473,0.7869553852789483
0.7875956539448495,0.9003463284890642,0.9337173982517248,0.933226680709499,0.9274206621687386,0.80653653367194
0.8173815846226428,0.9130513150966796,0.9363196098515494,0.9353190566712816,0.9322804716550104,0.8126372459325627
0.9372011448298372,0.9341800528073118,0.9377026341328848,0.93573633400869,0.9365075402852312,0.821936402903607
0.9379340045167456,0.9395728785546756,0.9369454171716688,0.93692099694734,0.9397273871062064,0.8289660747303645
0.9376860453627974,0.9404626248767914,0.9364617055281618,0.9382963067950426,0.9389193733158028,0.8352890467422153
0.9380398326863368,0.93879470184638,0.9366542201545992,0.9360529160011288,0.93839247400791,0.8423202350771885
0.9380348022529988,0.9389444452849446,0.9362247208449642,0.93702817139101,0.9382572006295672,0.8512867306816375
0.9360424079850016,0.9383373774095468,0.9372607371677596,0.9352382996178752,0.9374134847017396,0.8802018769226236
0.9373250720551404,0.9380855935630044,0.93739009270429,0.9364405927845412,0.9370088556279774,0.8780562547220266
0.9364377012549808,0.9377607881828218,0.9368685192150848,0.936491875921076,0.9367803881927621,0.8849877501078839
0.9362103509904148,0.9372613234874412,0.9371617695842815,0.937517025610047,0.936435072937832,0.9033560230964132
0.9358948416153944,0.9375499991420502,0.9374435690477454,0.9370109191726254,0.9367412872442521,0.9092377091238664
0.9390323393605334,0.937521472992185,0.9366533909973952,0.9356586980623702,0.9373105581264036,0.9094815212931548
0.9378265620170276,0.9358253764759916,0.9374487838569135,0.9369963476560536,0.9365151298917362,0.9090860534540001
0.93698634334704,0.9365700044439079,0.9379845139257391,0.9378655097783514,0.93686078002559,0.910293616926086
0.9379506834586884,0.9370595439251908,0.9379483893969828,0.9376555921188146,0.9365133942861301,0.919412807134188
0.9362948359587374,0.9375470344452368,0.9363039024428396,0.9366593336762152,0.9364346836315636,0.9372333893096032
0.9367556033337641,0.9374386517371882,0.9367104761422268,0.9385723731718224,0.9374623661291732,0.9369838521418729
0.9352305462548018,0.9352305462548018,0.9352305462548018,0.9352305462548018,0.9352305462548018,0.9352305462548018
