Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.30232,0.1842,0.12118000000000002,0.13178000000000006,0.0997,0.23606000000000005
0.24374,0.11886,0.08679999999999997,0.08768,0.0956,0.22802
0.20810000000000006,0.10724000000000003,0.08474,0.0845,0.08855999999999999,0.23592
0.085,0.09076,0.08546000000000001,0.08602,0.08472000000000003,0.23288000000000003
0.0859,0.08310000000000001,0.08283999999999997,0.08315999999999997,0.08295999999999999,0.2326
0.08376000000000001,0.08198,0.08334,0.08404,0.08488000000000001,0.2282200000000001
0.08616,0.08585999999999999,0.08797999999999999,0.08523999999999997,0.08492000000000001,0.22638000000000005
0.08456,0.08625999999999999,0.08588000000000001,0.08663999999999998,0.08828,0.20842000000000005
0.08796,0.08498000000000001,0.0843,0.08753999999999998,0.08891999999999997,0.17388
0.08869999999999999,0.08721999999999999,0.08924,0.08714000000000001,0.08773999999999997,0.17818
0.08633999999999999,0.08757999999999999,0.08674,0.08887999999999999,0.08773999999999997,0.16853999999999994
0.08538,0.08443999999999999,0.08646000000000001,0.08771999999999998,0.08716000000000003,0.1337
0.08528000000000002,0.08699999999999998,0.08857999999999999,0.08834,0.08662,0.12286
0.08644,0.08621999999999998,0.0891,0.08815999999999999,0.08773999999999997,0.12234000000000002
0.08499999999999998,0.08760000000000001,0.08920000000000003,0.0864,0.08838000000000001,0.12128
0.08708000000000002,0.08649999999999998,0.08702000000000001,0.08906,0.0891,0.12428
0.08932000000000001,0.08642000000000001,0.08611999999999999,0.08772,0.08889999999999999,0.11126000000000004
0.08828000000000001,0.08798000000000003,0.08792,0.08746000000000001,0.08893999999999999,0.0885
0.0882,0.08665999999999999,0.08806000000000001,0.08888000000000001,0.08866,0.08797999999999999
0.08854,0.08854,0.08854,0.08854,0.08854,0.08854
