Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.7169198896271599,0.7909234098303011,0.8696041562781978,0.8641407285884987,0.8957213783197959,0.7445485175820693
0.7611157516717496,0.8733519847981285,0.9159357197702548,0.9153808718844064,0.9071931443413662,0.7697594642696443
0.7989654501386938,0.8915347871180224,0.919775915513108,0.9183149740973624,0.9150082394516168,0.7779213189601684
0.9204836560859816,0.9152892425091056,0.9214214403565172,0.9185125505990079,0.9199690437794444,0.7884083326610303
0.9219433668844856,0.9238071977480864,0.9202052239960072,0.9198464261517532,0.9241741803822944,0.7968333843295199
0.920772768760004,0.9245403114450548,0.9189062197744724,0.9213932812061316,0.9227477889998958,0.8043254452408617
0.9208247680553387,0.9223681002803716,0.9188744191985776,0.9189002103630004,0.921700453370322,0.8116155776687893
0.9213853651526946,0.9224575122076708,0.9185182671741848,0.9195998153973488,0.9217924819572422,0.8203881838837637
0.9182833258885764,0.9209576873330596,0.919745114469364,0.9171944650200732,0.920112763432872,0.8495704880546177
0.9199098903500749,0.9209361200262882,0.9196351245410368,0.9193319170506726,0.91935973241778,0.8475841521816797
0.9184668230819092,0.9197878611520824,0.9194921629632264,0.9182661679998184,0.91846917022883,0.8562823929215431
0.9182074353705576,0.919380604367616,0.9193337457774114,0.9194827080688904,0.9185318101431648,0.8774126278397233
0.9176558582416467,0.9193413668602596,0.91926722194221,0.9188380399502124,0.919074839406925,0.8856201456096424
0.9211873300081612,0.919465962537254,0.91844047194954,0.9175753105661232,0.9191578503682394,0.8864858523162394
0.9196228000580008,0.9174467352423022,0.9190446682730372,0.9186768151600008,0.9182198337397854,0.8850161883784409
0.918562595877002,0.9180418245576872,0.9204582642878648,0.919397791824074,0.9185945711775844,0.8867420723853635
0.9200723415123092,0.9193164979478364,0.9198442185209634,0.9196188867806152,0.917960794305516,0.8975434376308327
0.9175323255699532,0.9189726093855346,0.9173508702369512,0.9178687055972936,0.9181174302193168,0.9191641421152671
0.9178922171727042,0.9189541447707708,0.9183841852250872,0.9206326580010898,0.9192544129934609,0.9183118614641892
0.9161084887981218,0.9161084887981218,0.9161084887981218,0.9161084887981218,0.9161084887981218,0.9161084887981218
