Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.19443999999999995,0.14602,0.08999999999999997,0.09412,0.0717,0.17872000000000002
0.16621999999999995,0.08739999999999998,0.05760000000000001,0.057940000000000026,0.06358000000000001,0.15994000000000005
0.13856,0.07462000000000002,0.054860000000000006,0.055859999999999986,0.05816000000000001,0.15332
0.054220000000000004,0.057920000000000006,0.053640000000000014,0.055639999999999995,0.05462,0.1456
0.053180000000000026,0.05196,0.05444000000000001,0.054680000000000006,0.05168,0.13938000000000006
0.05392,0.051400000000000015,0.05524000000000001,0.05356000000000001,0.05260000000000002,0.13359999999999994
0.053859999999999984,0.05286,0.05526000000000002,0.05522000000000002,0.05328000000000002,0.12855999999999998
0.05346,0.05278,0.05541999999999999,0.054700000000000006,0.0532,0.1224
0.055480000000000015,0.053739999999999996,0.05460000000000001,0.05634,0.05430000000000002,0.10206000000000004
0.054380000000000026,0.053739999999999996,0.054659999999999986,0.05486000000000001,0.054800000000000015,0.10346000000000004
0.055360000000000006,0.0545,0.05472000000000001,0.055559999999999984,0.05540000000000002,0.09750000000000003
0.055519999999999986,0.05478,0.05482000000000001,0.054680000000000006,0.05534,0.08349999999999999
0.05592,0.054780000000000016,0.05484,0.05512,0.05494000000000002,0.07804
0.05346,0.05466,0.055359999999999986,0.05594000000000001,0.05488000000000001,0.07737999999999999
0.054479999999999994,0.05602000000000001,0.054920000000000004,0.0552,0.055460000000000016,0.07837999999999999
0.055260000000000004,0.05562,0.05400000000000002,0.054700000000000006,0.055220000000000005,0.07721999999999997
0.05420000000000002,0.054700000000000006,0.05438000000000001,0.05454000000000001,0.05562,0.06962
0.055900000000000005,0.054920000000000004,0.056060000000000006,0.0557,0.055519999999999986,0.0548
0.055679999999999986,0.05494000000000001,0.055340000000000014,0.053780000000000015,0.054720000000000005,0.05538000000000001
0.05687999999999999,0.05687999999999999,0.05687999999999999,0.05687999999999999,0.05687999999999999,0.05687999999999999
