Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.6479599999999999,0.7776800000000001,0.8820199999999998,0.8755,0.9169400000000002,0.68228
0.7606999999999999,0.9059799999999996,0.9398799999999999,0.93922,0.9345,0.7624200000000001
0.8273600000000001,0.92686,0.9456000000000004,0.94252,0.9435399999999999,0.7954799999999999
0.9468200000000002,0.94484,0.946,0.94612,0.94696,0.8210000000000001
0.9506600000000002,0.95236,0.9471200000000002,0.94726,0.94988,0.8370200000000001
0.9505800000000004,0.9526,0.9469600000000002,0.94744,0.9498,0.8530399999999999
0.9492600000000002,0.9516800000000002,0.9464400000000002,0.9480200000000001,0.9496600000000002,0.8632799999999999
0.9491200000000001,0.9503,0.94762,0.94832,0.9493000000000004,0.8779600000000001
0.9484799999999999,0.95112,0.94758,0.94706,0.94908,0.9013200000000001
0.94854,0.9506400000000004,0.94896,0.94804,0.9490200000000002,0.90072
0.9499400000000002,0.95024,0.94942,0.9488200000000001,0.94982,0.9075599999999996
0.9487200000000001,0.95114,0.94884,0.94888,0.9503800000000004,0.9233199999999998
0.9497600000000002,0.9502600000000002,0.94836,0.94962,0.95034,0.93078
0.94962,0.9511000000000004,0.94902,0.9490200000000004,0.95008,0.9311399999999996
0.9504,0.9494,0.9494399999999996,0.9488800000000002,0.9501799999999999,0.93034
0.95046,0.94888,0.9498799999999998,0.9497600000000002,0.94948,0.9306000000000002
0.94972,0.9494200000000004,0.94912,0.94938,0.94922,0.9359599999999998
0.95024,0.9502200000000001,0.95092,0.9496399999999998,0.94966,0.95034
0.9494000000000002,0.9498399999999998,0.9490400000000002,0.9503600000000004,0.9507799999999998,0.94992
0.95016,0.95016,0.95016,0.95016,0.95016,0.95016
