Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.8076399999999998,0.8614399999999999,0.9112000000000005,0.9087200000000001,0.9294200000000002,0.8218
0.8371799999999999,0.91684,0.9411999999999998,0.9405399999999999,0.9368799999999999,0.8434799999999999
0.8638000000000002,0.92916,0.9452000000000002,0.94422,0.94342,0.8528999999999999
0.94684,0.94478,0.9458800000000004,0.94452,0.9471599999999998,0.8614000000000002
0.9486600000000002,0.94966,0.9461800000000002,0.9454,0.94846,0.8637799999999999
0.94764,0.94924,0.9463600000000001,0.9463399999999998,0.9479,0.8706799999999999
0.9480200000000001,0.94874,0.94596,0.9460000000000004,0.947,0.8751200000000001
0.94656,0.94714,0.94618,0.94632,0.9475600000000002,0.88536
0.9468399999999998,0.9492,0.9452200000000002,0.9458800000000004,0.947,0.9025
0.9475999999999998,0.9485,0.94586,0.94672,0.94696,0.90394
0.9468000000000002,0.94802,0.94568,0.9456400000000004,0.9478799999999998,0.907
0.94796,0.94734,0.947,0.9458799999999999,0.9484,0.9223
0.94716,0.9476,0.9455399999999999,0.9459,0.9476600000000001,0.9284199999999998
0.94652,0.94804,0.9463,0.9455400000000002,0.9479799999999999,0.9279
0.9465600000000001,0.9462,0.94746,0.9470600000000003,0.94662,0.9275599999999998
0.94758,0.9468,0.94734,0.9469200000000002,0.9475400000000002,0.92668
0.9481799999999999,0.94758,0.9465800000000002,0.9462200000000002,0.94794,0.93292
0.94694,0.94772,0.94726,0.9465,0.94714,0.94826
0.9473400000000002,0.94736,0.9477,0.9482199999999998,0.94678,0.9480000000000004
0.9474400000000002,0.9474400000000002,0.9474400000000002,0.9474400000000002,0.9474400000000002,0.9474400000000002
