Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.6637380633047772,0.8077746905361374,0.8749675748058976,0.8719001305156021,0.8943422437741471,0.7351746331630342
0.708036461305677,0.8702398412131003,0.904853021241788,0.9034815919841476,0.8955773722803104,0.7453754899846774
0.7436333785853246,0.8816996797222422,0.906131464883118,0.9068556486321472,0.9026076806100692,0.7399752324990153
0.9069354281239156,0.9024425302917176,0.9055317929002276,0.9057093807356096,0.9066693130323272,0.7438452139487071
0.9052529936373108,0.9086114926568604,0.9096812245303428,0.9081395307810118,0.908719249043076,0.7438042537837007
0.9073646393822254,0.9097918271147214,0.907908532497803,0.907665790482443,0.9062483543242432,0.7475012142840468
0.9044299806855132,0.9058681971995352,0.9032109626053684,0.906200844557984,0.906055803371024,0.7507755562501006
0.9062496910261468,0.9052854848102344,0.9057869296804304,0.9051355839572836,0.9030293296471658,0.7695705400293709
0.902722204512982,0.9070497257832426,0.9074242717386691,0.9042006202573566,0.9024194352501272,0.8088784285754624
0.901718179148567,0.9034016331584824,0.9015500549269824,0.904145370142172,0.9039048628312629,0.8050657627431821
0.9048134009376814,0.9036333937391748,0.9049518163067662,0.9027798419938204,0.9030993993253266,0.8143744201570468
0.9054901064323944,0.9065195445455344,0.9051801345001677,0.903864546909252,0.9038332366997164,0.8527682669459321
0.9054547909521572,0.9048181013163448,0.9026229599141128,0.9025680439422812,0.9045227894350004,0.8632858216311667
0.9044056003987436,0.9050120221257829,0.9020017120982502,0.9038565921726236,0.9032851640198544,0.8634695803206202
0.9054762215195704,0.9037085332956392,0.9021969565916546,0.905459084425936,0.9023072946278412,0.8639545309452583
0.9034341353835416,0.9045197896232524,0.905030610676135,0.9019486109295468,0.9022363495043236,0.8603892633620397
0.9009827699188628,0.9042736155349812,0.9052539464456432,0.9041474538730132,0.9021469121793114,0.8761109723133449
0.9028189836929488,0.9028747323313948,0.9036875598101548,0.9038406541327068,0.9019084734624891,0.9021876090690596
0.9028165801638708,0.904137167708482,0.9029536642411604,0.902583150655273,0.9021451114068009,0.902528778176128
0.9024268122588092,0.9024268122588092,0.9024268122588092,0.9024268122588092,0.9024268122588092,0.9024268122588092
