Chi_Square,fisherscore,giniindex,infogain,Mutual_Information,reliefF
0.5850784344606756,0.7385956701061065,0.8258931146181553,0.8111978335976281,0.8559247973215798,0.6705738732243078
0.6604315117086053,0.8296000550753948,0.8742011337134984,0.8728249014842414,0.8616757411872281,0.6831298072153686
0.7069290417217685,0.8456855414207682,0.8770129081803948,0.8772422327015752,0.8717241923981276,0.6737649723664079
0.8767941776633005,0.8685471527953261,0.8759573158175131,0.8751096164678823,0.8770463087258684,0.6778362468425725
0.8752925277542083,0.8793273493713575,0.8796591434261012,0.8792370665623831,0.8794939284228591,0.678079591896047
0.8783905001631882,0.8808579739804224,0.8789378071674774,0.8778263100901624,0.8766987225759101,0.6835057316962669
0.8748191868416328,0.8754446915436628,0.8722560267126278,0.8761636562565155,0.8766603413958574,0.6860880691107704
0.8769997515565211,0.8747835498168057,0.8753463795880196,0.8742295519062481,0.8719296303369988,0.7087923091178918
0.8722169108946076,0.8764652728349622,0.8774888334881972,0.8728385811121391,0.8710321872662214,0.7530169180167764
0.8711466988815876,0.8731870007231222,0.8704804948106909,0.8734875326187627,0.8725339672592916,0.7472733957090871
0.8744458720490421,0.8728592674773585,0.8739288194120785,0.8710470259904427,0.8725406020351923,0.7605667928013847
0.8758923347298544,0.8772385709166857,0.8744393733443302,0.8726779579194411,0.8734861608640778,0.8085514905144118
0.8760964485535965,0.8735640543851417,0.8713999033301212,0.8718006317383956,0.8740679189914803,0.8233031420557277
0.8743595761287354,0.8746920918918687,0.8706135122981239,0.871889078933447,0.8725654104534781,0.8240811981447078
0.8764159370349971,0.8726204558201357,0.8704779895267154,0.8743964811689535,0.8716320371399323,0.8256238567355393
0.8734479388516077,0.8743333270230477,0.8736018602111355,0.8706706064505084,0.8705515352134557,0.8213736920543815
0.8703305309527911,0.8745595087355175,0.8750020760613912,0.8725580946024771,0.8709946611536086,0.8395395855256048
0.8717279415188776,0.8722165377084147,0.8723265618823518,0.872983375503688,0.8707807160714924,0.8714624347787523
0.8719067858861552,0.8741717971928117,0.8720549100621032,0.870962341351267,0.8712432002519147,0.8721482203380759
0.8713099564835527,0.8713099564835527,0.8713099564835527,0.8713099564835527,0.8713099564835527,0.8713099564835527
